SMARTS,trivialname,group
[nX2]1cccc2c1[nX3]cc2,7-azaindazole,cyclic
c1c2c(ccc1)coc=2,Isobenzofuran,cyclic
c1c2c(ccc1)csc=2,Benzo[c]thiophene,cyclic
c1c2c(ccc1)scc2,Benzo[b]thiophene,cyclic
c1c2c(ccc1)c[nX2]o2,Benzo[d]isoxazole,cyclic
c1cccc2c1[nX2]oc2,Benzo[c]isoxazole,cyclic
[#6H3X4],Methyl,functional_group
[#6H3X4]-[#6X4H2],Ethyl,functional_group
[#6H3X4]-[#6X4H2]-[#6X4H2],Propyl,functional_group
[#6H3X4]-[#6X4H2]-[#6X4H2]-[#6X4H2],Butyl,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Pently,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Hexyl,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Heptyl,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Octyl,functional_group
[#6H2]([#6H3])[#6H3],Isopropyl,functional_group
c1ccccc1,Benzene,cyclic
C1CCCCC1,Cyclohexane,cyclic
C1CCCC1,Cyclopentane,cyclic
[#6H1]=N-[O;H1],Aldoxime,functional_group
"[#7X3H2$(*[#6]),#7X4+H3$(*[#6])]",Primary Amine,functional_group
"[#7X3H1$(*([#6])[#6]),#7X4+H2$(*([#6])[#6])]",Secondary Amine,functional_group
"[#7X3H0$(*([#6])([#6])[#6]),#7X4+H1$(*([#6])([#6])[#6])]",Tertiary Amine,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Nonyl,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Decyl,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Undecyl,functional_group
[#6H3X4][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2][#6X4H2],Dodecyl,functional_group
[SX4!R](=O)(=O)[NX3!R],Sulfonamide,functional_group
[CX3H1]=[NX2H1],Primary aldimine,functional_group
[CX3H1]=[NX2H0],Secondary aldimine,functional_group
[CX3H0]=[NX2H1],Primary ketimine,functional_group
[CX3H0]=[NX2H0],Secondary ketimine,functional_group
o1ncnc1,"1,2,4-oxadiazole",cyclic
s1ncnc1,"1,2,4-thiadiazole",cyclic
s1nncc1,"1,2,3-thiadiazole",cyclic
C1=CCS(C1)(=O)=O,Sulfolene,cyclic
[nX2]1[nX2]cc[nX2]c1,"1,2,4-triazine",cyclic
[NX4+H0],Quartenary Amine,functional_group
[NX3!H2][NX3],Hydrazide,functional_group
[SX4R](=O)(=O)[NX3R],Sultam,functional_group
[SX4!R](=O)(=O)[NX2!R],Sulfonimide,functional_group
c1c2ccccc2ccc1,Naphtalene,cyclic
C1CCC1,Cyclobutane,cyclic
C1CC1,Cyclopropane,cyclic
C1CCCCCC1,Cycloheptane,cyclic
C1CCCCCCC1,Cyclooctane,cyclic
C1CCCCCCCC1,Cyclononane,cyclic
C1CCCCCCCCC1,Cyclodecane,cyclic
C1CCCCCCCCCC1,Cycloundecane,cyclic
C1CCCCCCCCCCC1,Cyclododecane,cyclic
c1ccccc1-c2ccccc2,Biphenyl,cyclic
c1cccc2c(cc1)cc2,Bicyclodecapentaene,cyclic
c1cccc2cccc2c1,Azulene,cyclic
